time,mouse_dx,mouse_dy,mouse_scroll
2021-06-11T18:31:23.306,0,0,0
2021-06-11T18:31:23.310,0,0,0
2021-06-11T18:31:23.315,0,0,0
2021-06-11T18:31:23.321,0,0,0
2021-06-11T18:31:23.325,0,0,0
2021-06-11T18:31:23.329,0,0,0
2021-06-11T18:31:23.334,0,0,0
2021-06-11T18:31:23.338,0,0,0
2021-06-11T18:31:23.342,0,0,0
2021-06-11T18:31:23.346,0,0,0
2021-06-11T18:31:23.350,0,0,0
2021-06-11T18:31:23.354,0,0,0
2021-06-11T18:31:23.358,0,0,0
2021-06-11T18:31:23.361,0,0,0
2021-06-11T18:31:23.365,0,0,0
2021-06-11T18:31:23.369,0,0,0
2021-06-11T18:31:23.374,0,0,0
2021-06-11T18:31:23.379,0,0,0
2021-06-11T18:31:23.382,0,0,0
2021-06-11T18:31:23.387,0,0,0
2021-06-11T18:31:23.392,0,0,0
2021-06-11T18:31:23.395,0,0,0
2021-06-11T18:31:23.401,0,0,0
2021-06-11T18:31:23.404,0,0,0
2021-06-11T18:31:23.408,0,0,0
2021-06-11T18:31:23.413,0,0,0
2021-06-11T18:31:23.417,0,0,0
2021-06-11T18:31:23.421,0,0,0
2021-06-11T18:31:23.426,0,0,0
2021-06-11T18:31:23.430,0,0,0
2021-06-11T18:31:23.435,0,0,0
2021-06-11T18:31:23.438,0,0,0
2021-06-11T18:31:23.445,0,0,0
2021-06-11T18:31:23.448,0,0,0
2021-06-11T18:31:23.452,0,0,0
2021-06-11T18:31:23.456,0,0,0
2021-06-11T18:31:23.460,0,0,0
2021-06-11T18:31:23.463,0,0,0
2021-06-11T18:31:23.468,0,0,0
